age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,poutcome,deposit,p_recency
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,unknown,yes,None
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,unknown,yes,None
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,unknown,yes,None
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,unknown,yes,None
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,unknown,yes,None
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,unknown,yes,None
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,unknown,yes,None
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,unknown,yes,None
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,unknown,yes,None
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,unknown,yes,None
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,unknown,yes,None
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,unknown,yes,None
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,unknown,yes,None
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,unknown,yes,None
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,unknown,yes,None
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,unknown,yes,None
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,unknown,yes,None
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,unknown,yes,None
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,unknown,yes,None
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,unknown,yes,None
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,unknown,yes,None
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,unknown,yes,None
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,unknown,yes,None
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,unknown,yes,None
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,unknown,yes,None
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,unknown,yes,None
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,unknown,yes,None
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,unknown,yes,None
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,unknown,yes,None
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,unknown,yes,None
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,unknown,yes,None
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,unknown,yes,None
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,unknown,yes,None
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,unknown,yes,None
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,unknown,yes,None
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,unknown,yes,None
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,unknown,yes,None
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,unknown,yes,None
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,unknown,yes,None
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,unknown,yes,None
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,unknown,yes,None
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,unknown,yes,None
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,unknown,yes,None
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,unknown,yes,None
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,unknown,yes,None
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,unknown,yes,None
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,unknown,yes,None
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,unknown,yes,None
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,unknown,yes,None
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,unknown,yes,None
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,unknown,yes,None
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,unknown,yes,None
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,unknown,yes,None
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,unknown,yes,None
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,unknown,yes,None
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,unknown,yes,None
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,unknown,yes,None
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,unknown,yes,None
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,unknown,yes,None
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,unknown,yes,None
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,unknown,yes,None
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,unknown,yes,None
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,unknown,yes,None
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,unknown,yes,None
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,unknown,yes,None
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,unknown,yes,None
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,unknown,yes,None
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,unknown,yes,None
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,unknown,yes,None
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,unknown,yes,None
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,unknown,yes,None
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,unknown,yes,None
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,unknown,yes,None
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,unknown,yes,None
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,unknown,yes,None
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,unknown,yes,None
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,unknown,yes,None
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,unknown,yes,None
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,unknown,yes,None
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,unknown,yes,None
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,unknown,yes,None
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,unknown,yes,None
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,unknown,yes,None
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,unknown,yes,None
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,unknown,yes,None
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,unknown,yes,None
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,unknown,yes,None
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,unknown,yes,None
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,unknown,yes,None
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,unknown,yes,None
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,unknown,yes,None
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,unknown,yes,None
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,unknown,yes,None
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,unknown,yes,None
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,unknown,yes,None
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,unknown,yes,None
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,unknown,yes,None
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,unknown,yes,None
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,unknown,yes,None
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,unknown,yes,None
32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,unknown,yes,None
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,unknown,yes,None
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,unknown,yes,None
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,unknown,yes,None
53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,unknown,yes,None
46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,unknown,yes,None
26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,unknown,yes,None
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,unknown,yes,None
31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,unknown,yes,None
29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,unknown,yes,None
53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,unknown,yes,None
27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,unknown,yes,None
39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,unknown,yes,None
36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,unknown,yes,None
41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,unknown,yes,None
36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,unknown,yes,None
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,unknown,yes,None
35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,unknown,yes,None
36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,unknown,yes,None
35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,unknown,yes,None
30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,unknown,yes,None
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,unknown,yes,None
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,unknown,yes,None
32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,unknown,yes,None
29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,unknown,yes,None
44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,unknown,yes,None
32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,unknown,yes,None
31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,unknown,yes,None
40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,unknown,yes,None
43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,unknown,yes,None
27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,unknown,yes,None
37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,unknown,yes,None
23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,unknown,yes,None
25,management,married,primary,no,168,yes,no,unknown,3,jun,801,unknown,yes,None
26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,unknown,yes,None
47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,unknown,yes,None
35,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,unknown,yes,None
32,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,unknown,yes,None
45,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,unknown,yes,None
30,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524,unknown,yes,None
29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,unknown,yes,None
38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,unknown,yes,None
23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,unknown,yes,None
27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,unknown,yes,None
27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,unknown,yes,None
29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,unknown,yes,None
30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,unknown,yes,None
36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,unknown,yes,None
35,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,908,unknown,yes,None
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,unknown,yes,None
59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,unknown,yes,None
47,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,unknown,yes,None
58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,unknown,yes,None
37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,unknown,yes,None
46,admin.,single,secondary,no,849,yes,no,unknown,5,jun,508,unknown,yes,None
43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,unknown,yes,None
27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,unknown,yes,None
38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,unknown,yes,None
53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,unknown,yes,None
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,unknown,yes,None
56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,unknown,yes,None
41,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053,unknown,yes,None
29,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,unknown,yes,None
50,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,unknown,yes,None
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,unknown,yes,None
35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,unknown,yes,None
26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,unknown,yes,None
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,unknown,yes,None
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,unknown,yes,None
30,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862,unknown,yes,None
38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,unknown,yes,None
37,services,divorced,secondary,no,319,yes,no,unknown,6,jun,467,unknown,yes,None
53,technician,married,secondary,no,480,no,no,unknown,6,jun,648,unknown,yes,None
29,blue-collar,single,primary,no,213,yes,no,unknown,6,jun,2653,unknown,yes,None
35,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,unknown,yes,None
28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,unknown,yes,None
55,blue-collar,married,unknown,no,7561,no,no,unknown,6,jun,685,unknown,yes,None
49,management,divorced,secondary,no,-46,yes,no,unknown,9,jun,1055,unknown,yes,None
50,services,married,secondary,no,1595,no,no,unknown,9,jun,882,unknown,yes,None
43,management,single,tertiary,no,1046,no,no,unknown,9,jun,901,unknown,yes,None
58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,unknown,yes,None
38,technician,married,primary,no,217,yes,no,unknown,9,jun,491,unknown,yes,None
48,blue-collar,divorced,primary,no,183,no,no,unknown,9,jun,940,unknown,yes,None
59,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,unknown,yes,None
58,blue-collar,married,secondary,no,25,no,no,unknown,9,jun,486,unknown,yes,None
36,self-employed,single,tertiary,no,4844,no,no,unknown,9,jun,1137,unknown,yes,None
42,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878,unknown,yes,None
41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,unknown,yes,None
42,admin.,married,secondary,no,105,no,no,unknown,11,jun,1159,unknown,yes,None
39,management,married,tertiary,no,-190,no,yes,unknown,11,jun,893,unknown,yes,None
57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,unknown,yes,None
52,retired,married,unknown,no,293,no,no,unknown,11,jun,706,unknown,yes,None
59,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,unknown,yes,None
56,blue-collar,married,secondary,no,1210,no,no,unknown,11,jun,935,unknown,yes,None
49,management,married,tertiary,no,64,no,no,unknown,11,jun,586,unknown,yes,None
35,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,unknown,yes,None
36,unemployed,married,secondary,no,1766,no,no,unknown,11,jun,595,unknown,yes,None
40,admin.,single,tertiary,no,1248,no,no,unknown,11,jun,1290,unknown,yes,None
55,blue-collar,married,secondary,no,0,no,no,unknown,12,jun,614,unknown,yes,None
58,admin.,married,secondary,no,826,no,no,unknown,12,jun,885,unknown,yes,None
39,self-employed,married,tertiary,no,2630,no,no,unknown,12,jun,651,unknown,yes,None
47,housemaid,single,tertiary,no,3727,no,no,unknown,12,jun,993,unknown,yes,None
40,management,married,secondary,no,406,yes,no,unknown,12,jun,577,unknown,yes,None
35,blue-collar,married,tertiary,no,2999,no,no,unknown,12,jun,1141,unknown,yes,None
48,blue-collar,married,secondary,no,1000,yes,no,unknown,12,jun,1268,unknown,yes,None
48,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,1243,unknown,yes,None
24,blue-collar,single,secondary,yes,-203,yes,no,unknown,12,jun,465,unknown,yes,None
49,blue-collar,married,primary,no,361,yes,no,unknown,16,jun,513,unknown,yes,None
36,blue-collar,married,secondary,no,274,yes,no,unknown,16,jun,686,unknown,yes,None
52,retired,divorced,tertiary,no,3687,yes,yes,unknown,16,jun,741,unknown,yes,None
42,entrepreneur,single,unknown,no,323,no,no,unknown,16,jun,617,unknown,yes,None
36,services,married,secondary,no,981,no,no,unknown,16,jun,1093,unknown,yes,None
36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,unknown,yes,None
48,unemployed,single,tertiary,no,3229,no,no,unknown,16,jun,1089,unknown,yes,None
51,management,single,secondary,no,1610,yes,no,unknown,16,jun,1248,unknown,yes,None
51,blue-collar,married,secondary,no,33,no,yes,unknown,16,jun,721,unknown,yes,None
46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,unknown,yes,None
37,management,married,tertiary,no,0,no,no,unknown,16,jun,637,unknown,yes,None
36,entrepreneur,married,tertiary,no,3057,no,no,unknown,16,jun,2769,unknown,yes,None
47,management,married,secondary,no,2892,no,no,unknown,17,jun,556,unknown,yes,None
40,technician,divorced,tertiary,no,0,no,no,unknown,17,jun,522,unknown,yes,None
38,student,single,tertiary,no,3316,no,no,unknown,17,jun,1345,unknown,yes,None
40,management,married,secondary,no,106,no,no,unknown,17,jun,676,unknown,yes,None
39,blue-collar,married,primary,no,2303,yes,no,unknown,17,jun,775,unknown,yes,None
60,management,married,tertiary,no,3301,no,no,unknown,17,jun,2621,unknown,yes,None
39,self-employed,single,tertiary,no,426,no,no,unknown,18,jun,1029,unknown,yes,None
51,services,divorced,secondary,no,9,no,no,unknown,18,jun,371,unknown,yes,None
27,admin.,married,secondary,no,-97,yes,no,unknown,18,jun,1528,unknown,yes,None
41,management,single,tertiary,no,11008,no,no,unknown,18,jun,1540,unknown,yes,None
42,blue-collar,single,primary,no,4930,no,no,unknown,18,jun,973,unknown,yes,None
41,entrepreneur,married,secondary,no,707,no,no,unknown,18,jun,707,unknown,yes,None
33,technician,married,secondary,no,4,yes,yes,unknown,18,jun,625,unknown,yes,None
46,admin.,married,secondary,no,126,no,no,unknown,18,jun,1255,unknown,yes,None
31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,unknown,yes,None
41,blue-collar,married,primary,no,219,no,yes,unknown,18,jun,1574,unknown,yes,None
41,blue-collar,divorced,secondary,no,3622,no,no,unknown,19,jun,1135,unknown,yes,None
55,retired,divorced,secondary,no,1580,no,yes,unknown,19,jun,1007,unknown,yes,None
53,technician,married,secondary,no,1319,no,no,unknown,19,jun,1318,unknown,yes,None
55,housemaid,married,primary,no,2152,no,no,unknown,19,jun,922,unknown,yes,None
39,services,married,secondary,no,2843,yes,no,unknown,19,jun,585,unknown,yes,None
40,entrepreneur,married,tertiary,yes,0,no,no,unknown,19,jun,952,unknown,yes,None
59,retired,married,primary,no,1115,no,no,unknown,19,jun,834,unknown,yes,None
42,blue-collar,single,secondary,no,625,no,no,unknown,19,jun,651,unknown,yes,None
41,blue-collar,married,primary,no,246,no,no,unknown,19,jun,683,unknown,yes,None
27,blue-collar,married,secondary,no,61,yes,no,unknown,19,jun,1012,unknown,yes,None
25,blue-collar,single,secondary,no,-191,yes,no,unknown,19,jun,958,unknown,yes,None
